"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"151","CO","Pueblo",45,25,22,105,47,NA
"152","CO","Rio Blanco",1,1,11,34,17,NA
"153","CO","Rio Grande",2,4,12,1,2,NA
"154","CO","Sedgwick",5,NA,2,7,NA,NA
"155","CO","Weld",16,9,10,23,36,NA
"156","CO","Yuma",11,12,4,19,18,NA
"157","CT","Fairfield",90,22,23,146,94,NA
"158","CT","Hartford",135,141,134,680,138,NA
"159","CT","Litchfield",10,10,10,31,11,13
"160","CT","Middlesex",6,8,7,31,5,NA
"161","CT","New Haven",129,26,19,245,130,NA
"162","CT","New London",48,13,9,58,49,NA
"163","CT","Tolland",25,5,5,48,25,NA
"164","CT","Windham",1,1,2,46,12,NA
"165","DC","District Of Columbia",24,12,12,26,16,1
"166","DE","Kent",22,8,2,31,26,NA
"167","DE","New Castle",60,12,8,100,74,NA
"168","DE","Sussex",62,2,3,106,61,NA
"169","FL","Alachua",2,2,2,2,2,NA
"170","FL","Bay",12,12,12,10,12,NA
"171","FL","Bradford",34,36,34,37,41,NA
"172","FL","Brevard",86,94,62,106,84,NA
"173","FL","Broward",52,64,23,86,52,NA
"174","FL","Charlotte",9,2,2,37,9,NA
"175","FL","Citrus",5,9,6,26,4,NA
"176","FL","Clay",47,22,44,71,26,NA
"177","FL","Collier",4,4,4,9,4,NA
"178","FL","Columbia",26,4,6,56,21,NA
"179","FL","DeSoto",12,NA,NA,9,NA,NA
"180","FL","Duval",95,23,18,137,85,NA
"181","FL","Escambia",160,131,128,164,161,NA
"182","FL","Flagler",1,2,NA,3,1,NA
"183","FL","Gadsden",39,17,30,42,42,NA
"184","FL","Gilchrist",1,NA,NA,NA,NA,NA
"185","FL","Hernando",2,2,1,21,14,NA
"186","FL","Highlands",28,8,24,27,18,NA
"187","FL","Hillsborough",19,18,18,46,31,NA
"188","FL","Indian River",14,14,13,16,14,NA
"189","FL","Jackson",25,8,11,30,5,NA
"190","FL","Jefferson",2,1,1,2,2,NA
"191","FL","Lafayette",1,1,1,1,1,NA
"192","FL","Lake",12,9,8,27,11,NA
"193","FL","Lee",40,14,17,91,19,NA
"194","FL","Leon",2,1,1,5,1,NA
"195","FL","Levy",1,1,1,1,1,NA
"196","FL","Madison",9,NA,1,29,4,NA
"197","FL","Manatee",6,3,3,32,4,NA
"198","FL","Marion",19,6,5,40,19,NA
"199","FL","Martin",2,5,3,9,3,NA
"200","FL","Miami-Dade",74,65,45,148,63,1
"201","FL","Monroe",2,2,2,13,11,NA
"202","FL","Okaloosa",3,28,3,7,5,NA
"203","FL","Orange",66,36,32,187,35,1
"204","FL","Osceola",19,1,1,31,5,NA
"205","FL","Palm Beach",121,90,90,217,96,NA
"206","FL","Pasco",65,22,5,104,31,NA
"207","FL","Pinellas",215,49,46,311,203,NA
"208","FL","Polk",9,7,10,60,13,NA
"209","FL","Putnam",3,5,1,18,1,NA
"210","FL","Santa Rosa",6,4,4,15,3,NA
"211","FL","Sarasota",61,33,13,140,111,1
"212","FL","Seminole",22,3,3,63,52,NA
"213","FL","St. Johns",10,4,2,23,2,NA
"214","FL","St. Lucie",15,6,6,21,16,NA
"215","FL","Suwannee",1,1,1,1,1,NA
"216","FL","Volusia",128,141,115,200,122,NA
"217","FL","Walton",1,1,2,7,1,NA
"218","FL","Washington",1,1,1,1,1,NA
"219","GA","Barrow",1,1,1,1,1,NA
"220","GA","Berrien",6,1,1,7,NA,NA
"221","GA","Bibb",15,8,6,24,15,28
"222","GA","Bleckley",2,NA,NA,NA,NA,NA
"223","GA","Bulloch",14,14,12,8,7,NA
"224","GA","Burke",1,2,1,6,1,NA
"225","GA","Butts",25,9,12,21,4,NA
"226","GA","Camden",1,1,1,2,1,NA
"227","GA","Candler",8,8,9,13,8,NA
"228","GA","Catoosa",9,5,3,13,2,NA
"229","GA","Chatham",7,5,13,19,10,NA
"230","GA","Cherokee",3,3,3,3,3,NA
"231","GA","Clarke",13,13,13,14,13,NA
"232","GA","Clay",12,4,7,16,9,NA
"233","GA","Clayton",3,1,1,28,1,NA
"234","GA","Cobb",9,10,8,42,7,NA
"235","GA","Coffee",1,1,1,1,1,NA
"236","GA","Colquitt",6,4,4,6,6,7
"237","GA","Columbia",31,29,33,40,15,NA
"238","GA","Cook",1,NA,NA,29,1,NA
"239","GA","Crawford",10,12,13,13,10,NA
"240","GA","Crisp",4,10,13,3,NA,NA
"241","GA","Decatur",9,NA,NA,9,8,NA
"242","GA","DeKalb",44,33,40,126,34,NA
"243","GA","Dooly",2,2,3,2,2,NA
"244","GA","Dougherty",4,3,3,15,3,NA
"245","GA","Early",3,2,NA,4,1,NA
"246","GA","Emanuel",8,8,8,8,21,NA
"247","GA","Fayette",3,NA,NA,3,NA,NA
"248","GA","Floyd",4,3,5,4,5,1
"249","GA","Fulton",88,95,93,91,90,NA
"250","GA","Gwinnett",2,1,2,4,3,NA
"251","GA","Habersham",2,NA,NA,2,NA,NA
"252","GA","Hall",3,18,20,27,24,NA
"253","GA","Hancock",3,NA,1,25,NA,NA
