"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"1103","NJ","Cumberland",23,3,4,28,22,NA
"1104","NJ","Essex",45,11,9,99,47,1
"1105","NJ","Gloucester",1,2,2,4,1,NA
"1106","NJ","Hudson",4,9,7,21,4,NA
"1107","NJ","Mercer",23,16,1,29,23,NA
"1108","NJ","Middlesex",80,40,33,136,80,NA
"1109","NJ","Monmouth",57,6,14,118,52,NA
"1110","NJ","Morris",43,3,7,77,45,1
"1111","NJ","Ocean",89,17,43,241,90,NA
"1112","NJ","Passaic",2,10,9,48,2,1
"1113","NJ","Salem",1,6,NA,4,NA,NA
"1114","NJ","Sussex",21,2,1,29,21,NA
"1115","NJ","Union",21,2,5,45,21,NA
"1116","NJ","Warren",60,1,NA,73,60,NA
"1117","NM","Bernalillo",189,23,40,257,190,NA
"1118","NM","Chaves",21,16,3,28,22,NA
"1119","NM","Cibola",1,2,NA,9,NA,NA
"1120","NM","Colfax",20,2,NA,28,20,NA
"1121","NM","Curry",43,1,1,81,41,NA
"1122","NM","Dona Ana",64,10,4,105,71,NA
"1123","NM","Grant",21,1,1,25,21,NA
"1124","NM","Lea",1,NA,NA,2,NA,NA
"1125","NM","McKinley",40,11,12,57,40,NA
"1126","NM","Otero",2,7,2,16,4,NA
"1127","NM","Roosevelt",1,1,1,1,1,NA
"1128","NM","San Juan",45,3,4,54,41,NA
"1129","NM","San Miguel",4,8,6,10,4,NA
"1130","NM","Sandoval",21,8,1,26,22,NA
"1131","NM","Santa Fe",20,NA,NA,22,22,NA
"1132","NM","Socorro",1,1,1,2,1,NA
"1133","NM","Taos",1,NA,1,4,NA,NA
"1134","NM","Union",20,NA,NA,24,20,NA
"1135","NM","Valencia",20,1,NA,26,20,NA
"1136","NV","Carson City",28,NA,NA,32,26,NA
"1137","NV","Clark",17,16,18,75,14,1
"1138","NV","Douglas",21,NA,2,36,24,NA
"1139","NV","Elko",2,2,2,2,2,NA
"1140","NV","Mineral",1,4,1,4,1,NA
"1141","NV","Washoe",2,1,23,54,2,NA
"1142","NV","White Pine",2,NA,NA,9,1,NA
"1143","NY","Albany",4,3,3,21,2,NA
"1144","NY","Allegany",2,2,2,2,2,NA
"1145","NY","Bronx",26,40,43,103,15,6
"1146","NY","Broome",2,1,1,2,3,NA
"1147","NY","Cayuga",2,2,2,2,2,NA
"1148","NY","Chemung",1,1,3,2,1,NA
"1149","NY","Chenango",1,2,1,2,2,NA
"1150","NY","Cortland",1,1,1,2,1,NA
"1151","NY","Dutchess",1,1,2,4,2,NA
"1152","NY","Erie",10,7,8,10,8,1
"1153","NY","Essex",2,2,NA,1,NA,NA
"1154","NY","Franklin",1,NA,NA,NA,2,NA
"1155","NY","Fulton",1,1,2,1,1,NA
"1156","NY","Jefferson",2,1,1,29,1,NA
"1157","NY","Kings",17,78,52,41,21,4
"1158","NY","Livingston",2,NA,NA,22,NA,NA
"1159","NY","Madison",1,NA,NA,NA,NA,NA
"1160","NY","Monroe",15,7,9,96,6,2
"1161","NY","Nassau",41,11,11,58,46,1
"1162","NY","New York",3,24,13,23,8,NA
"1163","NY","Niagara",4,10,5,4,11,NA
"1164","NY","Oneida",4,4,7,8,4,NA
"1165","NY","Ontario",7,7,8,7,10,NA
"1166","NY","Orange",1,3,7,1,2,NA
"1167","NY","Putnam",1,1,1,1,1,NA
"1168","NY","Queens",38,99,63,129,39,NA
"1169","NY","Rensselaer",10,11,NA,5,2,NA
"1170","NY","Richmond",1,19,8,13,2,NA
"1171","NY","Saratoga",6,NA,1,5,2,NA
"1172","NY","Schenectady",13,2,11,11,12,1
"1173","NY","Seneca",1,NA,NA,11,NA,NA
"1174","NY","St. Lawrence",1,1,1,1,1,NA
"1175","NY","Steuben",2,1,2,12,1,NA
"1176","NY","Suffolk",34,46,28,82,53,1
"1177","NY","Sullivan",1,1,1,1,1,NA
"1178","NY","Tioga",1,2,1,34,1,NA
"1179","NY","Tompkins",3,8,10,11,4,NA
"1180","NY","Ulster",2,NA,1,3,5,NA
"1181","NY","Washington",3,NA,3,22,4,NA
"1182","NY","Wayne",2,2,1,12,1,NA
"1183","NY","Westchester",71,32,37,135,31,1
"1184","OH","Adams",4,17,NA,NA,6,NA
"1185","OH","Allen",36,32,23,128,91,1
"1186","OH","Ashland",32,26,24,36,32,1
"1187","OH","Ashtabula",4,24,5,100,2,1
"1188","OH","Auglaize",1,49,2,61,2,NA
"1189","OH","Belmont",15,17,17,49,16,NA
"1190","OH","Brown",25,14,23,50,39,NA
"1191","OH","Butler",8,15,6,110,14,NA
"1192","OH","Carroll",15,14,17,18,19,11
"1193","OH","Champaign",49,32,29,64,55,NA
"1194","OH","Clark",45,62,18,122,43,NA
"1195","OH","Clermont",38,46,40,99,38,10
"1196","OH","Clinton",2,1,2,11,1,NA
"1197","OH","Columbiana",28,7,3,122,28,NA
"1198","OH","Crawford",19,NA,1,25,20,NA
"1199","OH","Cuyahoga",316,144,109,550,187,68
"1200","OH","Darke",3,5,1,48,25,NA
"1201","OH","Erie",28,2,3,32,17,NA
"1202","OH","Fairfield",11,7,5,82,31,NA
"1203","OH","Fayette",53,NA,49,84,53,31
"1204","OH","Franklin",232,51,32,402,144,NA
"1205","OH","Fulton",1,NA,1,8,NA,NA
"1206","OH","Gallia",30,16,15,50,46,NA
"1207","OH","Geauga",7,1,1,94,2,1
"1208","OH","Greene",14,6,3,20,5,NA
"1209","OH","Hamilton",84,152,48,401,76,4
"1210","OH","Hancock",25,41,61,81,45,NA
"1211","OH","Hardin",7,5,2,12,4,NA
"1212","OH","Harrison",1,11,1,2,2,NA
"1213","OH","Henry",6,6,21,49,18,NA
"1214","OH","Highland",32,2,1,59,32,NA
"1215","OH","Hocking",1,5,1,1,2,NA
"1216","OH","Holmes",1,2,25,85,2,NA
"1217","OH","Huron",28,1,3,40,1,NA
"1218","OH","Jefferson",11,2,4,20,7,NA
"1219","OH","Knox",1,42,1,48,1,NA
"1220","OH","Lake",49,5,4,75,54,NA
"1221","OH","Lawrence",17,1,2,17,17,NA
"1222","OH","Licking",7,7,4,43,46,NA
"1223","OH","Logan",38,18,19,43,19,NA
"1224","OH","Lorain",42,30,39,232,45,1
"1225","OH","Lucas",150,98,90,247,138,18
"1226","OH","Madison",5,NA,1,5,NA,NA
"1227","OH","Mahoning",73,12,14,303,64,NA
"1228","OH","Marion",17,1,1,29,17,NA
"1229","OH","Medina",8,6,2,168,52,NA
"1230","OH","Meigs",2,13,NA,20,1,NA
"1231","OH","Mercer",46,17,20,63,36,NA
"1232","OH","Miami",3,4,3,18,3,NA
"1233","OH","Monroe",2,41,3,40,2,NA
"1234","OH","Montgomery",204,114,68,261,158,NA
"1235","OH","Muskingum",2,2,2,2,2,NA
"1236","OH","Noble",1,1,1,15,6,NA
"1237","OH","Ottawa",41,NA,3,48,32,NA
"1238","OH","Pickaway",20,2,3,35,5,NA
"1239","OH","Pike",3,4,3,4,3,NA
"1240","OH","Portage",69,6,54,122,18,NA
"1241","OH","Preble",1,7,12,24,14,NA
"1242","OH","Putnam",3,NA,2,1,2,NA
"1243","OH","Richland",1,1,2,31,24,NA
"1244","OH","Ross",27,5,6,29,28,NA
"1245","OH","Sandusky",11,17,12,58,8,NA
"1246","OH","Scioto",8,1,1,6,NA,NA
"1247","OH","Seneca",14,30,9,22,12,NA
"1248","OH","Shelby",4,3,1,39,3,NA
"1249","OH","Stark",65,52,75,245,72,NA
"1250","OH","Summit",166,87,82,421,107,NA
"1251","OH","Trumbull",16,38,4,177,32,44
"1252","OH","Tuscarawas",2,9,NA,41,1,NA
"1253","OH","Union",2,8,3,4,2,NA
"1254","OH","Vinton",1,50,NA,43,2,NA
"1255","OH","Warren",4,9,NA,81,11,1
"1256","OH","Washington",35,20,7,79,54,NA
"1257","OH","Wayne",3,4,5,94,6,NA
"1258","OH","Williams",11,1,NA,24,1,NA
"1259","OH","Wood",94,64,74,121,98,NA
"1260","OK","Adair",1,1,1,1,1,NA
"1261","OK","Blaine",1,2,1,1,1,NA
"1262","OK","Bryan",29,8,6,91,7,NA
"1263","OK","Caddo",9,12,7,22,12,NA
"1264","OK","Canadian",2,2,4,49,4,NA
"1265","OK","Carter",1,13,12,64,22,NA
"1266","OK","Choctaw",4,NA,1,6,NA,NA
"1267","OK","Cleveland",35,57,47,50,48,NA
"1268","OK","Comanche",3,3,2,2,2,NA
"1269","OK","Custer",3,7,9,21,4,NA
"1270","OK","Delaware",31,31,33,40,32,NA
"1271","OK","Ellis",3,NA,NA,3,1,NA
"1272","OK","Garfield",4,1,20,35,NA,NA
"1273","OK","Garvin",3,15,4,13,4,NA
"1274","OK","Grant",1,1,1,1,1,NA
"1275","OK","Jackson",5,4,7,19,4,NA
"1276","OK","Johnston",1,4,3,22,4,NA
"1277","OK","Kay",1,1,1,7,1,NA
"1278","OK","Latimer",3,1,1,20,2,NA
"1279","OK","Le Flore",9,3,2,20,5,11
"1280","OK","Lincoln",1,1,2,13,NA,NA
"1281","OK","Marshall",1,4,5,16,5,NA
"1282","OK","Mayes",1,3,NA,3,2,NA
"1283","OK","Murray",13,9,7,26,13,NA
"1284","OK","Muskogee",6,4,7,53,11,22
"1285","OK","Okfuskee",2,1,NA,15,NA,NA
"1286","OK","Oklahoma",4,17,8,143,6,NA
"1287","OK","Osage",1,1,1,5,1,NA
"1288","OK","Pawnee",1,1,2,7,2,NA
"1289","OK","Pittsburg",9,14,9,9,5,NA
"1290","OK","Seminole",3,2,2,2,2,NA
"1291","OK","Stephens",4,24,6,71,8,NA
"1292","OK","Tulsa",5,26,24,49,7,NA
"1293","OK","Washington",3,2,2,40,23,NA
"1294","OK","Washita",1,NA,NA,NA,NA,NA
"1295","OK","Woodward",2,1,2,10,1,NA
"1296","OR","Benton",13,NA,1,12,13,NA
"1297","OR","Clackamas",11,9,9,27,9,NA
"1298","OR","Coos",8,1,1,NA,13,NA
"1299","OR","Deschutes",1,32,11,13,10,NA
"1300","OR","Douglas",1,1,2,1,1,NA
"1301","OR","Jackson",11,1,3,19,3,NA
"1302","OR","Lane",18,3,10,24,19,1
"1303","OR","Linn",10,3,3,4,1,NA
"1304","OR","Marion",36,8,2,50,45,NA
"1305","OR","Multnomah",43,61,32,41,38,1
"1306","OR","Polk",1,1,1,2,1,NA
"1307","OR","Umatilla",35,35,42,45,35,NA
"1308","OR","Wasco",29,12,10,30,25,NA
"1309","OR","Washington",1,4,NA,5,2,NA
"1310","PA","Adams",21,NA,NA,25,20,NA
"1311","PA","Allegheny",465,64,69,545,431,NA
"1312","PA","Beaver",33,NA,NA,33,20,NA
"1313","PA","Bedford",33,NA,1,33,33,NA
"1314","PA","Berks",94,23,4,105,69,NA
"1315","PA","Blair",13,11,7,17,11,NA
"1316","PA","Bradford",7,11,11,18,12,NA
"1317","PA","Bucks",77,39,17,148,94,NA
"1318","PA","Butler",44,2,1,92,33,NA
"1319","PA","Cambria",11,2,11,10,5,NA
"1320","PA","Cameron",22,29,35,21,19,NA
"1321","PA","Carbon",2,2,2,2,2,NA
"1322","PA","Centre",2,NA,1,NA,3,NA
"1323","PA","Chester",91,6,7,105,90,NA
"1324","PA","Clarion",1,NA,NA,NA,1,NA
"1325","PA","Clearfield",1,1,1,1,2,NA
"1326","PA","Clinton",9,4,2,25,9,NA
"1327","PA","Columbia",42,2,4,50,59,NA
"1328","PA","Crawford",1,3,1,5,2,NA
"1329","PA","Cumberland",17,7,16,61,27,NA
"1330","PA","Dauphin",4,16,5,20,3,NA
"1331","PA","Delaware",134,73,73,149,136,NA
"1332","PA","Elk",2,NA,NA,1,1,NA
"1333","PA","Erie",43,19,23,42,27,NA
"1334","PA","Fayette",53,30,30,53,51,NA
"1335","PA","Forest",1,1,1,39,1,NA
"1336","PA","Franklin",8,6,4,30,8,NA
"1337","PA","Huntingdon",12,27,8,12,18,NA
"1338","PA","Indiana",7,7,7,7,7,NA
"1339","PA","Jefferson",2,2,2,2,2,NA
"1340","PA","Juniata",2,2,2,2,2,NA
"1341","PA","Lackawanna",61,2,3,69,62,NA
"1342","PA","Lancaster",49,9,6,65,41,1
"1343","PA","Lawrence",3,NA,NA,35,3,NA
"1344","PA","Lebanon",21,10,7,53,23,NA
"1345","PA","Lehigh",58,7,7,57,60,NA
"1346","PA","Luzerne",95,6,10,122,89,NA
"1347","PA","Lycoming",92,29,18,142,81,NA
"1348","PA","McKean",28,43,14,30,27,NA
"1349","PA","Mercer",28,44,36,42,28,NA
"1350","PA","Mifflin",1,1,2,2,1,NA
"1351","PA","Montgomery",252,57,34,331,284,NA
"1352","PA","Montour",1,1,1,1,1,NA
"1353","PA","Northampton",40,14,5,45,20,NA
"1354","PA","Northumberland",44,27,1,49,31,NA
"1355","PA","Perry",3,3,3,3,2,NA
"1356","PA","Philadelphia",79,16,28,110,60,NA
"1357","PA","Potter",7,2,5,9,5,NA
"1358","PA","Schuylkill",48,5,14,59,41,NA
"1359","PA","Somerset",9,NA,9,4,2,NA
"1360","PA","Tioga",1,1,NA,NA,3,NA
"1361","PA","Venango",18,7,5,19,7,NA
"1362","PA","Warren",16,2,4,17,10,NA
"1363","PA","Washington",35,2,1,34,34,NA
"1364","PA","Westmoreland",16,10,11,9,26,NA
"1365","PA","York",174,14,20,181,140,NA
"1366","PR","Hormigueros",2,12,2,16,NA,NA
"1367","RI","Bristol",22,3,2,34,22,NA
"1368","RI","Kent",77,30,15,101,82,NA
"1369","RI","Newport",20,4,NA,30,21,NA
"1370","RI","Providence",95,23,34,134,88,NA
"1371","RI","Washington",13,4,3,33,2,NA
"1372","SC","Aiken",29,2,30,41,29,NA
"1373","SC","Anderson",1,NA,7,7,NA,NA
"1374","SC","Bamberg",1,1,1,1,1,NA
"1375","SC","Barnwell",12,15,NA,9,NA,NA
"1376","SC","Beaufort",5,2,2,39,8,NA
"1377","SC","Berkeley",2,2,2,4,2,NA
"1378","SC","Calhoun",3,NA,2,7,2,NA
"1379","SC","Charleston",8,16,3,68,19,NA
"1380","SC","Chester",1,1,1,1,1,NA
"1381","SC","Chesterfield",3,NA,NA,NA,1,NA
"1382","SC","Colleton",1,1,1,2,1,NA
"1383","SC","Darlington",1,1,1,3,1,NA
"1384","SC","Dorchester",8,5,9,4,4,NA
"1385","SC","Florence",3,NA,1,8,NA,NA
"1386","SC","Georgetown",3,4,6,15,8,NA
"1387","SC","Greenville",44,11,20,66,44,NA
"1388","SC","Greenwood",5,3,1,15,13,NA
"1389","SC","Horry",31,32,30,57,42,NA
"1390","SC","Jasper",5,22,5,50,7,NA
"1391","SC","Kershaw",2,2,2,2,2,NA
"1392","SC","Lancaster",2,2,2,39,2,NA
"1393","SC","Laurens",21,3,14,35,15,NA
"1394","SC","Lexington",24,3,1,37,11,NA
"1395","SC","Newberry",34,NA,NA,42,NA,NA
"1396","SC","Oconee",5,3,3,3,3,NA
"1397","SC","Orangeburg",1,1,1,2,1,NA
"1398","SC","Pickens",6,NA,NA,12,NA,NA
"1399","SC","Richland",15,5,5,114,13,NA
"1400","SC","Spartanburg",4,12,2,86,12,NA
"1401","SC","Sumter",6,7,5,35,5,NA
"1402","SC","York",31,24,15,78,45,NA
"1403","SD","Clark",1,1,1,1,1,NA
"1404","SD","Clay",11,12,NA,13,2,NA
"1405","SD","Davison",53,10,NA,56,47,NA
"1406","SD","Dewey",1,NA,NA,NA,NA,NA
"1407","SD","Douglas",1,NA,NA,NA,NA,NA
"1408","SD","Grant",3,3,1,1,2,NA
"1409","SD","Hughes",1,1,1,1,1,NA
"1410","SD","Marshall",2,9,NA,1,2,NA
"1411","SD","Mellette",1,1,1,1,1,NA
"1412","SD","Minnehaha",24,9,2,70,60,1
"1413","SD","Moody",11,3,2,16,11,NA
"1414","SD","Pennington",35,NA,2,48,33,NA
"1415","SD","Potter",2,4,3,4,2,NA
"1416","SD","Roberts",1,2,NA,1,NA,NA
"1417","SD","Sanborn",15,NA,NA,23,23,NA
"1418","SD","Turner",2,3,2,6,3,NA
"1419","SD","Union",4,31,4,6,5,NA
"1420","SD","Walworth",1,10,1,7,NA,NA
"1421","SD","Yankton",1,1,1,1,15,NA
"1422","TN","Anderson",4,6,4,59,6,NA
"1423","TN","Bedford",2,2,1,11,1,NA
"1424","TN","Benton",2,NA,NA,33,33,NA
"1425","TN","Bledsoe",14,19,25,14,15,NA
"1426","TN","Blount",1,1,2,2,1,NA
"1427","TN","Bradley",2,1,1,31,1,NA
"1428","TN","Campbell",21,NA,1,42,21,NA
"1429","TN","Carroll",1,10,15,37,25,NA
"1430","TN","Cheatham",4,2,2,2,2,NA
"1431","TN","Cocke",3,4,3,3,3,NA
"1432","TN","Coffee",47,42,54,92,54,NA
"1433","TN","Crockett",3,2,2,7,4,NA
"1434","TN","Davidson",30,17,10,104,19,1
"1435","TN","Decatur",10,8,4,33,10,NA
"1436","TN","DeKalb",33,21,11,35,24,NA
"1437","TN","Dickson",25,23,23,35,23,NA
"1438","TN","Dyer",8,19,7,16,6,NA
"1439","TN","Fayette",41,42,40,42,42,NA
"1440","TN","Gibson",18,10,4,42,10,NA
"1441","TN","Giles",51,60,43,76,58,NA
"1442","TN","Grainger",8,2,NA,2,2,NA
"1443","TN","Hamilton",68,46,50,195,112,NA
"1444","TN","Hardeman",5,1,5,38,33,NA
"1445","TN","Hardin",42,41,41,56,39,NA
"1446","TN","Haywood",39,28,1,42,40,NA
"1447","TN","Henderson",3,1,1,10,1,NA
"1448","TN","Henry",54,37,38,64,67,NA
"1449","TN","Hickman",2,1,1,4,4,NA
"1450","TN","Jackson",16,NA,9,39,1,NA
"1451","TN","Knox",90,74,70,91,84,NA
"1452","TN","Lake",10,10,10,10,10,NA
"1453","TN","Lauderdale",7,1,1,34,12,NA
"1454","TN","Lawrence",55,44,49,81,58,NA
"1455","TN","Lewis",26,26,26,26,26,NA
"1456","TN","Lincoln",3,3,3,6,4,NA
"1457","TN","Macon",1,1,2,1,1,NA
"1458","TN","Madison",77,53,35,93,73,NA
"1459","TN","Maury",11,14,8,54,7,NA
"1460","TN","McMinn",23,23,23,24,23,NA
"1461","TN","McNairy",32,6,6,42,10,NA
"1462","TN","Montgomery",1,2,2,42,34,NA
"1463","TN","Moore",16,NA,NA,17,21,NA
"1464","TN","Overton",2,1,1,1,1,NA
"1465","TN","Perry",16,16,17,23,18,NA
"1466","TN","Putnam",19,16,2,44,29,NA
"1467","TN","Rhea",1,1,2,16,1,NA
"1468","TN","Roane",1,NA,NA,13,1,NA
"1469","TN","Robertson",7,NA,NA,24,8,NA
"1470","TN","Rutherford",28,53,23,70,59,NA
"1471","TN","Sequatchie",8,11,8,32,9,NA
"1472","TN","Shelby",29,65,49,87,72,NA
"1473","TN","Sullivan",4,3,1,50,4,NA
"1474","TN","Sumner",7,2,2,11,2,NA
"1475","TN","Tipton",18,19,16,18,20,NA
"1476","TN","Trousdale",4,NA,NA,2,NA,NA
"1477","TN","Unicoi",1,NA,NA,1,NA,NA
"1478","TN","Union",20,1,1,27,21,NA
"1479","TN","Warren",25,23,12,27,15,NA
"1480","TN","Washington",4,17,3,54,4,NA
"1481","TN","Weakley",2,1,3,6,NA,NA
"1482","TN","White",3,2,1,41,14,NA
"1483","TN","Williamson",21,41,13,49,25,NA
"1484","TX","Anderson",10,NA,6,21,NA,NA
"1485","TX","Angelina",20,1,9,25,2,NA
"1486","TX","Atascosa",15,11,11,11,9,NA
"1487","TX","Bailey",7,NA,NA,6,NA,NA
"1488","TX","Bandera",10,NA,NA,10,NA,NA
"1489","TX","Bastrop",4,4,4,7,3,NA
"1490","TX","Bell",4,8,3,13,6,NA
"1491","TX","Bexar",114,79,28,126,31,NA
"1492","TX","Bosque",7,4,NA,3,1,NA
"1493","TX","Bowie",9,7,4,18,3,NA
"1494","TX","Brazoria",18,6,18,32,6,1
"1495","TX","Brazos",21,5,1,22,2,NA
"1496","TX","Brown",35,5,5,37,5,NA
"1497","TX","Burleson",7,2,NA,9,NA,NA
"1498","TX","Cameron",12,12,13,13,12,NA
"1499","TX","Castro",2,3,NA,11,NA,NA
"1500","TX","Chambers",1,1,1,1,1,NA
"1501","TX","Cherokee",26,NA,NA,20,NA,NA
"1502","TX","Collin",31,15,7,39,7,NA
"1503","TX","Collingsworth",10,NA,NA,10,NA,NA
"1504","TX","Comal",6,2,NA,5,NA,NA
"1505","TX","Comanche",10,NA,NA,10,NA,NA
"1506","TX","Concho",10,NA,NA,10,NA,NA
"1507","TX","Cooke",15,NA,3,9,NA,NA
"1508","TX","Coryell",1,1,1,1,1,NA
"1509","TX","Crosby",8,5,5,16,3,NA
"1510","TX","Dallas",77,39,21,93,20,NA
"1511","TX","Denton",30,24,21,35,8,NA
"1512","TX","Duval",3,3,3,3,3,NA
"1513","TX","Eastland",1,NA,NA,NA,NA,NA
"1514","TX","Ector",31,NA,NA,30,NA,NA
"1515","TX","El Paso",66,13,6,69,5,NA
"1516","TX","Ellis",12,17,17,19,12,NA
"1517","TX","Falls",13,3,3,13,3,NA
"1518","TX","Fannin",3,16,1,2,2,NA
"1519","TX","Fayette",1,2,NA,11,NA,NA
"1520","TX","Floyd",1,NA,NA,NA,NA,NA
"1521","TX","Fort Bend",16,11,14,19,6,2
"1522","TX","Freestone",10,NA,NA,10,NA,NA
"1523","TX","Galveston",9,14,13,14,4,NA
"1524","TX","Gillespie",1,3,1,1,1,NA
"1525","TX","Gonzales",1,1,1,2,1,NA
"1526","TX","Gray",13,3,3,13,3,NA
"1527","TX","Grayson",23,5,9,35,5,1
"1528","TX","Gregg",29,4,31,29,1,1
"1529","TX","Guadalupe",12,8,6,24,6,NA
"1530","TX","Hall",10,NA,NA,10,NA,NA
"1531","TX","Hamilton",3,9,3,3,3,NA
"1532","TX","Hansford",2,1,1,2,4,NA
"1533","TX","Hardin",13,8,8,15,8,NA
"1534","TX","Harris",71,42,63,67,41,1
"1535","TX","Harrison",3,3,2,4,2,NA
"1536","TX","Hays",3,4,3,7,3,NA
"1537","TX","Henderson",3,3,3,4,4,NA
"1538","TX","Hidalgo",16,16,15,15,15,NA
"1539","TX","Hill",2,2,2,2,2,NA
"1540","TX","Hockley",3,3,3,3,3,NA
"1541","TX","Hood",13,3,3,13,3,NA
"1542","TX","Hopkins",11,NA,1,11,NA,NA
"1543","TX","Howard",10,NA,NA,10,NA,NA
"1544","TX","Hutchinson",10,NA,NA,10,NA,NA
"1545","TX","Jasper",2,2,18,2,NA,NA
"1546","TX","Jefferson",27,2,16,26,2,NA
"1547","TX","Jim Hogg",1,1,1,1,1,NA
"1548","TX","Jim Wells",3,4,3,3,3,NA
"1549","TX","Johnson",1,20,1,2,2,NA
"1550","TX","Karnes",11,1,2,11,1,NA
"1551","TX","Kaufman",27,7,7,32,7,NA
"1552","TX","Kendall",8,19,6,16,9,NA
"1553","TX","Kerr",6,7,7,7,6,NA
"1554","TX","Kleberg",1,1,NA,NA,NA,NA
"1555","TX","Lamb",7,3,7,1,NA,NA
"1556","TX","Lavaca",4,3,3,4,3,NA
"1557","TX","Lee",1,1,1,1,1,NA
"1558","TX","Liberty",1,11,1,1,NA,NA
"1559","TX","Limestone",13,5,2,16,2,NA
"1560","TX","Lubbock",50,3,3,46,3,NA
"1561","TX","Madison",10,NA,NA,10,NA,NA
"1562","TX","Matagorda",4,3,3,3,3,NA
"1563","TX","Maverick",20,NA,NA,20,NA,NA
"1564","TX","McLennan",26,18,8,27,16,NA
"1565","TX","Medina",16,7,2,16,6,NA
"1566","TX","Menard",1,NA,NA,NA,NA,NA
"1567","TX","Midland",1,7,1,2,1,NA
"1568","TX","Milam",3,12,4,10,11,NA
"1569","TX","Montgomery",20,7,11,28,9,10
"1570","TX","Moore",14,NA,NA,10,NA,NA
"1571","TX","Morris",1,NA,NA,NA,NA,NA
"1572","TX","Motley",3,3,3,3,3,NA
"1573","TX","Navarro",15,6,55,29,4,NA
"1574","TX","Newton",2,4,1,4,2,NA
"1575","TX","Nueces",9,14,11,9,8,NA
"1576","TX","Orange",15,NA,NA,15,NA,NA
"1577","TX","Palo Pinto",10,NA,NA,10,NA,NA
"1578","TX","Panola",1,1,1,2,2,NA
"1579","TX","Parker",23,15,7,43,8,NA
"1580","TX","Parmer",2,7,6,1,1,NA
"1581","TX","Polk",5,NA,1,7,NA,NA
"1582","TX","Potter",20,NA,1,28,NA,NA
"1583","TX","Randall",10,14,NA,10,NA,NA
"1584","TX","Real",4,3,5,2,1,NA
"1585","TX","Refugio",5,1,1,5,NA,NA
"1586","TX","Robertson",20,NA,NA,20,NA,NA
"1587","TX","Rockwall",3,4,4,6,3,NA
"1588","TX","Runnels",11,1,1,11,1,NA
"1589","TX","Sabine",11,NA,NA,13,NA,NA
"1590","TX","San Augustine",1,NA,2,3,NA,NA
"1591","TX","San Jacinto",1,1,1,1,1,NA
"1592","TX","San Patricio",5,NA,NA,5,NA,NA
"1593","TX","Smith",30,16,40,35,16,NA
"1594","TX","Somervell",13,3,3,13,NA,NA
"1595","TX","Starr",6,3,3,3,3,NA
"1596","TX","Swisher",4,1,1,1,1,NA
"1597","TX","Tarrant",101,88,93,131,83,NA
"1598","TX","Taylor",1,3,1,23,1,NA
"1599","TX","Titus",13,3,3,13,3,NA
"1600","TX","Tom Green",1,1,1,3,1,NA
"1601","TX","Travis",16,27,23,25,19,NA
"1602","TX","Trinity",10,NA,3,14,NA,NA
"1603","TX","Tyler",17,NA,NA,17,NA,NA
"1604","TX","Upshur",1,NA,NA,NA,NA,NA
"1605","TX","Upton",1,NA,NA,8,NA,NA
"1606","TX","Uvalde",2,4,1,5,NA,NA
"1607","TX","Val Verde",11,1,1,11,1,NA
"1608","TX","Van Zandt",1,3,NA,3,2,NA
"1609","TX","Victoria",4,4,6,4,4,NA
"1610","TX","Walker",1,1,1,4,1,NA
"1611","TX","Webb",7,7,8,7,7,NA
"1612","TX","Wharton",4,3,3,9,8,NA
"1613","TX","Wheeler",3,NA,NA,1,NA,NA
"1614","TX","Wichita",19,6,7,27,3,NA
"1615","TX","Wilbarger",6,2,4,6,6,NA
"1616","TX","Willacy",3,3,3,3,3,NA
"1617","TX","Williamson",14,24,6,22,5,1
"1618","TX","Wise",12,2,2,12,2,NA
"1619","TX","Wood",5,9,5,5,5,NA
"1620","TX","Yoakum",8,NA,NA,1,NA,NA
"1621","TX","Young",11,4,1,16,1,NA
"1622","UT","Box Elder",5,NA,NA,7,NA,NA
"1623","UT","Carbon",1,1,1,1,1,NA
"1624","UT","Davis",22,24,22,42,40,1
"1625","UT","Emery",3,NA,NA,NA,2,NA
"1626","UT","Salt Lake",34,25,36,64,34,11
"1627","UT","Sevier",1,1,1,1,1,NA
"1628","UT","Weber",6,4,4,14,13,NA
"1629","VA","Accomack",2,1,1,1,1,NA
"1630","VA","Alexandria City",3,2,4,40,6,1
"1631","VA","Alleghany",2,NA,NA,2,2,NA
"1632","VA","Amelia",1,NA,NA,NA,1,NA
"1633","VA","Amherst",6,5,5,8,6,NA
"1634","VA","Bedford City",7,6,6,10,7,NA
"1635","VA","Bristol City",4,NA,NA,11,2,NA
"1636","VA","Brunswick",1,NA,NA,2,NA,NA
"1637","VA","Buchanan",3,NA,3,3,3,NA
"1638","VA","Buckingham",2,2,2,2,2,NA
"1639","VA","Caroline",17,NA,NA,17,4,NA
"1640","VA","Charlotte",1,1,1,13,1,NA
"1641","VA","Chesterfield",2,11,2,8,2,NA
"1642","VA","Colonial Heights City",38,5,5,38,32,NA
"1643","VA","Culpeper",14,4,NA,14,2,NA
"1644","VA","Emporia City",2,13,3,2,5,NA
"1645","VA","Fairfax",17,18,1,53,42,NA
"1646","VA","Floyd",5,NA,2,NA,NA,NA
