"","Provider.State","County","Number_of_Available_Beds_by_County","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"2798","WI","Sauk",3565,NA,NA,NA
"2799","WI","Sawyer",1222,NA,NA,NA
"2800","WI","Shawano",6092,NA,NA,NA
"2801","WI","Sheboygan",10655,NA,NA,NA
"2802","WI","St. Croix",4772,NA,NA,NA
"2803","WI","Taylor",2349,NA,NA,NA
"2804","WI","Trempealeau",3516,NA,NA,NA
"2805","WI","Vernon",1969,NA,NA,NA
"2806","WI","Walworth",5401,NA,NA,NA
"2807","WI","Washburn",1673,NA,NA,NA
"2808","WI","Washington",6989,NA,NA,NA
"2809","WI","Waukesha",22883,NA,NA,NA
"2810","WI","Waupaca",7708,NA,NA,NA
"2811","WI","Winnebago",11938,NA,NA,NA
"2812","WI","Wood",8800,NA,NA,NA
"2813","WV","Barbour",1317,NA,NA,NA
"2814","WV","Berkeley",1035,NA,NA,NA
"2815","WV","Boone",327,NA,NA,NA
"2816","WV","Braxton",207,NA,NA,NA
"2817","WV","Brooke",978,NA,NA,NA
"2818","WV","Cabell",2487,NA,NA,NA
"2819","WV","Calhoun",142,NA,NA,NA
"2820","WV","Clay",264,NA,NA,NA
"2821","WV","Fayette",2254,NA,NA,NA
"2822","WV","Gilmer",402,NA,NA,NA
"2823","WV","Grant",1042,NA,NA,NA
"2824","WV","Greenbrier",2754,NA,NA,NA
"2825","WV","Hampshire",327,NA,NA,NA
"2826","WV","Hancock",1922,NA,NA,NA
"2827","WV","Hardy",373,NA,NA,NA
"2828","WV","Harrison",3973,NA,NA,NA
"2829","WV","Jackson",2237,NA,NA,NA
"2830","WV","Jefferson",954,NA,NA,NA
"2831","WV","Kanawha",7570,NA,NA,NA
"2832","WV","Lewis",402,NA,NA,NA
"2833","WV","Lincoln",260,NA,NA,NA
"2834","WV","Logan",1462,NA,NA,NA
"2835","WV","Marion",2889,NA,NA,NA
"2836","WV","Marshall",1999,NA,NA,NA
"2837","WV","Mason",2515,NA,NA,NA
"2838","WV","McDowell",997,NA,NA,NA
"2839","WV","Mercer",4191,NA,NA,NA
"2840","WV","Mineral",1528,NA,NA,NA
"2841","WV","Mingo",729,NA,NA,NA
"2842","WV","Monongalia",3027,NA,NA,NA
"2843","WV","Monroe",652,NA,NA,NA
"2844","WV","Morgan",1706,NA,NA,NA
"2845","WV","Nicholas",130,NA,NA,NA
"2846","WV","Ohio",2953,NA,NA,NA
"2847","WV","Pendleton",789,NA,NA,NA
"2848","WV","Pleasants",508,NA,NA,NA
"2849","WV","Pocahontas",236,NA,NA,NA
"2850","WV","Preston",3531,NA,NA,NA
"2851","WV","Putnam",1000,NA,NA,NA
"2852","WV","Raleigh",8622,NA,NA,NA
"2853","WV","Randolph",3153,NA,NA,NA
"2854","WV","Ritchie",1051,NA,NA,NA
"2855","WV","Roane",401,NA,NA,NA
"2856","WV","Summers",1657,NA,NA,NA
"2857","WV","Taylor",428,NA,NA,NA
"2858","WV","Tucker",775,NA,NA,NA
"2859","WV","Tyler",377,NA,NA,NA
"2860","WV","Upshur",826,NA,NA,NA
"2861","WV","Wayne",504,NA,NA,NA
"2862","WV","Webster",135,NA,NA,NA
"2863","WV","Wetzel",536,NA,NA,NA
"2864","WV","Wirt",425,NA,NA,NA
"2865","WV","Wood",2883,NA,NA,NA
"2866","WV","Wyoming",558,NA,NA,NA
"2867","WY","Albany",830,NA,NA,NA
"2868","WY","Big Horn",2695,NA,NA,NA
"2869","WY","Campbell",1083,NA,NA,NA
"2870","WY","Carbon",1926,NA,NA,NA
"2871","WY","Converse",662,NA,NA,NA
"2872","WY","Crook",244,NA,NA,NA
"2873","WY","Fremont",2077,NA,NA,NA
"2874","WY","Goshen",1242,NA,NA,NA
"2875","WY","Hot Springs",827,NA,NA,NA
"2876","WY","Johnson",215,NA,NA,NA
"2877","WY","Laramie",4463,NA,NA,NA
"2878","WY","Lincoln",361,NA,NA,NA
"2879","WY","Natrona",5988,NA,NA,NA
"2880","WY","Park",1844,NA,NA,NA
"2881","WY","Platte",-157,NA,NA,NA
"2882","WY","Sheridan",4062,NA,NA,NA
"2883","WY","Sublette",773,NA,NA,NA
"2884","WY","Sweetwater",2187,NA,NA,NA
"2885","WY","Teton",1025,NA,NA,NA
"2886","WY","Uinta",774,NA,NA,NA
"2887","WY","Washakie",1314,NA,NA,NA
"2888","WY","Weston",337,NA,NA,NA
